Time,gENROE.delta,gENROE.PELEC,eXAC1_1.EFD,gENROE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0314,0.60045785,0.40000004,1.4314197,-1.6163842e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0316,0.60045785,0.40000004,1.4314197,-1.6266563e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0318,0.60045785,0.40000004,1.4314197,-1.636928e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.032,0.60045785,0.40000004,1.4314197,-1.6471993e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0322,0.60045785,0.40000004,1.4314197,-1.6574704e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0324,0.60045785,0.40000004,1.4314197,-1.6677411e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0326,0.60045785,0.40000004,1.4314197,-1.6780113e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0328,0.60045785,0.40000004,1.4314197,-1.6882813e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.033,0.60045785,0.40000004,1.4314197,-1.698551e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0332,0.60045785,0.40000004,1.4314197,-1.7088203e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0334,0.60045785,0.40000004,1.4314197,-1.7190892e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0336,0.60045785,0.40000004,1.4314197,-1.7293578e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0338,0.60045785,0.40000004,1.4314197,-1.7396261e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.034,0.60045785,0.40000004,1.4314197,-1.749894e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0342,0.60045785,0.40000004,1.4314197,-1.7601616e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0344,0.60045785,0.40000004,1.4314197,-1.7704288e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0346,0.60045785,0.40000004,1.4314197,-1.7806957e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0348,0.60045785,0.40000004,1.4314197,-1.7909622e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.035,0.60045785,0.40000004,1.4314197,-1.8012283e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0352,0.60045785,0.40000004,1.4314197,-1.8114941e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0354,0.60045785,0.40000004,1.4314197,-1.8217597e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0356,0.60045785,0.40000004,1.4314197,-1.8320248e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0358,0.60045785,0.40000004,1.4314197,-1.8422897e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.036,0.60045785,0.40000004,1.4314197,-1.8525541e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0362,0.60045785,0.40000004,1.4314197,-1.8628182e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0364,0.60045785,0.40000004,1.4314197,-1.873082e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0366,0.60045785,0.40000004,1.4314197,-1.8833454e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0368,0.60045785,0.40000004,1.4314197,-1.8936085e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.037,0.60045785,0.40000004,1.4314197,-1.9038712e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0372,0.60045785,0.40000004,1.4314197,-1.9141336e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0374,0.60045785,0.40000004,1.4314197,-1.9243956e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0376,0.60045785,0.40000004,1.4314197,-1.9346573e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0378,0.60045785,0.40000004,1.4314197,-1.9449187e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.038,0.60045785,0.40000004,1.4314197,-1.9551796e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0382,0.60045785,0.40000004,1.4314197,-1.9654403e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0384,0.60045785,0.40000004,1.4314197,-1.9757007e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0386,0.60045785,0.40000004,1.4314197,-1.9859607e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0388,0.60045785,0.40000004,1.4314197,-1.9962203e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.039,0.60045785,0.40000004,1.4314197,-2.0064796e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0392,0.60045785,0.40000004,1.4314197,-2.0167384e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0394,0.60045785,0.40000004,1.4314197,-2.026997e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0396,0.60045785,0.40000004,1.4314197,-2.0372552e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0398,0.60045785,0.40000004,1.4314197,-2.0475131e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.04,0.60045785,0.40000004,1.4314197,-2.0577708e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0402,0.60045785,0.40000004,1.4314197,-2.068028e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0404,0.60045785,0.40000004,1.4314197,-2.0782848e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0406,0.60045785,0.40000004,1.4314197,-2.0885413e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0408,0.60045785,0.40000004,1.4314197,-2.0987975e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.041,0.60045785,0.40000004,1.4314197,-2.1090533e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0412,0.60045785,0.40000004,1.4314197,-2.1193088e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0414,0.60045785,0.40000004,1.4314197,-2.1295639e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0416,0.60045785,0.40000004,1.4314197,-2.1398187e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0418,0.60045785,0.40000004,1.4314197,-2.1500732e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.042,0.60045785,0.40000004,1.4314197,-2.1603272e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0422,0.60045785,0.40000004,1.4314197,-2.170581e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0424,0.60045785,0.40000004,1.4314197,-2.1808344e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0426,0.60045785,0.40000004,1.4314197,-2.1910875e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0428,0.60045785,0.40000004,1.4314197,-2.2013401e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.043,0.60045785,0.40000004,1.4314197,-2.2115926e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0432,0.60045785,0.40000004,1.4314197,-2.2218445e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0434,0.60045785,0.40000004,1.4314197,-2.2320962e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0436,0.60045785,0.40000004,1.4314197,-2.2423476e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0438,0.60045785,0.40000004,1.4314197,-2.2525985e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.044,0.60045785,0.40000004,1.4314197,-2.2628492e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0442,0.60045785,0.40000004,1.4314197,-2.2730995e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0444,0.60045785,0.40000004,1.4314197,-2.2833493e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.0446,0.60045785,0.40000004,1.4314197,-2.293599e-10,0.99999994,0.9919935,0.99999994,0.99598414
