Time,gENROE.delta,gENROE.PELEC,eXAC1_1.EFD,gENROE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
1.068,0.6004578005892913,0.39999999641648615,1.431419694464403,-2.8054764706079923e-11,0.9999999918878621,0.9919935383597426,0.9999999958013167,0.995984173061852
1.074,0.6004578005947744,0.3999999964528213,1.4314196944104647,-2.7686777076737304e-11,0.9999999918868648,0.991993538358911,0.9999999958008229,0.9959841730611986
1.08,0.6004578006002573,0.3999999964891565,1.4314196943565258,-2.731878944739469e-11,0.9999999918858672,0.9919935383580796,0.9999999958003292,0.9959841730605452
1.086,0.6004578006057404,0.3999999965254918,1.431419694302587,-2.6950801818052072e-11,0.99999999188487,0.9919935383572479,0.9999999957998353,0.9959841730598916
1.092,0.6004578006112233,0.399999996561827,1.4314196942486486,-2.6582814188709466e-11,0.9999999918838727,0.9919935383564165,0.9999999957993416,0.9959841730592384
1.098,0.6004578006167063,0.39999999659816227,1.4314196941947097,-2.6214826559366846e-11,0.9999999918828751,0.9919935383555848,0.9999999957988477,0.9959841730585848
1.104,0.6004578006221893,0.3999999966344974,1.4314196941407709,-2.584683893002423e-11,0.9999999918818777,0.9919935383547531,0.9999999957983539,0.9959841730579314
1.11,0.6004578006276723,0.3999999966708324,1.4314196940868322,-2.547885130068162e-11,0.9999999918808804,0.9919935383539216,0.99999999579786,0.9959841730572779
1.116,0.6004578006331552,0.39999999670716785,1.4314196940328938,-2.5110863671339005e-11,0.999999991879883,0.99199353835309,0.9999999957973663,0.9959841730566246
1.122,0.6004578006386383,0.3999999967435034,1.4314196939789552,-2.474287604199639e-11,0.9999999918788857,0.9919935383522586,0.9999999957968725,0.9959841730559712
1.128,0.6004578006441212,0.39999999677983844,1.4314196939250163,-2.437488841265379e-11,0.9999999918778881,0.991993538351427,0.9999999957963785,0.9959841730553177
1.134,0.6004578006496043,0.3999999968161737,1.431419693871078,-2.4006900783311173e-11,0.9999999918768907,0.9919935383505953,0.9999999957958848,0.9959841730546642
1.14,0.6004578006550872,0.39999999685250875,1.431419693817139,-2.3638913153968563e-11,0.9999999918758932,0.9919935383497637,0.9999999957953909,0.9959841730540107
1.146,0.6004578006605702,0.3999999968888441,1.4314196937632004,-2.3270925524625947e-11,0.999999991874896,0.9919935383489322,0.9999999957948972,0.9959841730533573
1.152,0.6004578006660533,0.3999999969251794,1.4314196937092618,-2.290293789528333e-11,0.9999999918738984,0.9919935383481008,0.9999999957944035,0.9959841730527039
1.158,0.6004578006715362,0.39999999696151445,1.431419693655323,-2.2534950265940722e-11,0.999999991872901,0.991993538347269,0.9999999957939095,0.9959841730520504
1.164,0.6004578006770193,0.39999999699784966,1.4314196936013843,-2.2166962636598106e-11,0.9999999918719038,0.9919935383464376,0.9999999957934158,0.9959841730513971
